"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Seager, Corey","608369","2020","232",15.9,7.3,".307",".585",".358","0.943",".331",".656",".394",".434",".381",,,,,,,,,"93.2","11.9",38.4,15.8,55.9,"103.805088736","96.925112586",25.8,55.6
"Mondesi, Adalberto","609275","2020","233",30,4.7,".256",".416",".294","0.710",".215",".355",".305",".267",".255",,,,,,,,,"90.6","13.7",19.9,7.3,39.1,"100.463874118","94.6236125",39.8,54.5
"Reyes, Franmil","614177","2020","241",28.6,10,".275",".450",".344","0.794",".245",".442",".341",".342",".328",,,,,,,,,"92.4","11.2",31.3,12.9,44.9,"103.394751806","96.328288182",38.5,46
"Swanson, Dansby","621020","2020","264",26.9,8.3,".274",".464",".345","0.809",".267",".474",".348",".354",".341",,,,,,,,,"89.1","14.7",40.7,11.4,40.7,"99.696452771","94.009281333",31.6,47.2
"Taylor, Chris","621035","2020","214",25.7,12.1,".270",".476",".366","0.842",".272",".488",".364",".371",".368",,,,,,,,,"88","9.1",35.1,11.5,45,"101.014144762","94.70205312",32.5,44.9
"Correa, Carlos","621043","2020","221",22.2,7.2,".264",".383",".326","0.709",".254",".402",".308",".315",".319",,,,,,,,,"88.8","11.3",26.1,5.9,42.1,"99.799884079","94.072529338",24.4,47.1
"Olson, Matt","621566","2020","245",31.4,13.9,".195",".424",".310","0.734",".224",".453",".316",".340",".336",,,,,,,,,"92.3","19.6",30.1,12.8,45.9,"102.764032969","95.948013281",34.8,42.7
"Reyes, Victor","622682","2020","213",21.1,4.2,".277",".391",".315","0.706",".287",".430",".307",".329",".324",,,,,,,,,"90","10.7",39.5,3.8,41.4,"98.63923961","93.618739286",26.4,54.2
"Alonso, Pete","624413","2020","239",25.5,10,".231",".490",".326","0.816",".225",".463",".342",".334",".323",,,,,,,,,"90.2","15.5",30.4,12.8,41.2,"102.386786986","95.44273469",30.4,46.1
"Biggio, Cavan","624415","2020","265",23,15.5,".250",".432",".375","0.807",".214",".343",".355",".315",".345",,,,,,,,,"87.4","16.7",31.4,5,30.8,"96.787761519","92.575247452",23,36.3
"Conforto, Michael","624424","2020","233",24.5,10.3,".322",".515",".412","0.927",".281",".478",".401",".374",".377",,,,,,,,,"88.4","11",38.6,11,36.6,"99.863468082","94.033462897",26,44.2
"Frazier, Adam","624428","2020","230",15.2,7.4,".230",".364",".297","0.661",".251",".378",".291",".309",".317",,,,,,,,,"85.5","12.3",34.9,4,25.1,"95.606103488","91.803051744",16.4,46.2
"Cronenworth, Jake","630105","2020","192",15.6,9.4,".285",".477",".354","0.831",".317",".535",".356",".393",".383",,,,,,,,,"89.8","10.6",37.8,10.5,42.7,"99.954348592","94.317753732",16.7,39.8
"Anderson, Tim","641313","2020","221",22.6,4.5,".322",".529",".357","0.886",".286",".501",".376",".352",".324",,,,,,,,,"87.2","6.7",33.3,10.1,35.8,"99.049571899","93.615060633",30.9,55.2
"Bellinger, Cody","641355","2020","243",17.3,12.3,".239",".455",".333","0.788",".284",".494",".337",".374",".374",,,,,,,,,"89.3","16.6",29.2,9.4,41.5,"100.513292857","94.455236287",23.3,47.6
"Crawford, J.P.","641487","2020","232",16.8,9.9,".255",".338",".336","0.674",".257",".360",".303",".318",".343",,,,,,,,,"85.8","11.5",34.1,1.8,31.1,"97.315126098","92.657563049",18.2,41.1
"Dozier, Hunter","641531","2020","186",25.8,14.5,".228",".392",".344","0.736",".235",".385",".326",".331",".351",,,,,,,,,"86.4","17",26.4,8.2,30.9,"98.298979455","93.253164404",30.9,41.9
